match_id,duration,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,leagueid,league_name,series_id,series_type,radiant_score,dire_score,radiant_win,version
8398179191,1970,1754056481,9759026.0,Dominion,9381131.0,Uzumaki,17366,Ultras Dota Pro League  2024-25,998679,1,15,47,False,22.0
8398178072,1330,1754056494,8629324.0,Swift Knights,9426115.0,Dark Rebellion,17233,Destiny League,998697,1,19,39,False,22.0
8398163339,2639,1754055841,9729268.0,Teiko,9843904.0,Nethercore ,17366,Ultras Dota Pro League  2024-25,998693,1,39,49,False,22.0
8398124740,1473,1754054213,9768243.0,Night Force,9767998.0,Nova Pulse,17233,Destiny League,998665,1,25,39,False,22.0
8398118185,2111,1754054035,9255039.0,1w Team,9247798.0,Passion UA,18396,CCT Dota 2 Season 2 Series 3,998657,2,30,18,True,22.0
8398117370,1438,1754054131,8291895.0,Tundra Esports,7554697.0,Nigma Galaxy,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998653,1,21,11,True,22.0
8398100294,1436,1754053262,9593609.0,Nethercore,9818938.0,Teiko,17366,Ultras Dota Pro League  2024-25,998681,1,15,38,False,22.0
8398085347,2247,1754052901,9381131.0,Uzumaki,9759026.0,Dominion,17366,Ultras Dota Pro League  2024-25,998679,1,15,39,False,22.0
8398081769,1190,1754052299,9767998.0,Nova Pulse,9768243.0,Night Force,17233,Destiny League,998665,1,13,33,False,22.0
8398038407,2262,1754050150,8291895.0,Tundra Esports,7554697.0,Nigma Galaxy,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998653,1,31,12,True,22.0
8398031112,2517,1754049952,9255039.0,1w Team,9247798.0,Passion UA,18396,CCT Dota 2 Season 2 Series 3,998657,2,28,18,True,22.0
8398030832,1865,1754049774,9768243.0,Night Force,9767998.0,Nova Pulse,17233,Destiny League,998665,1,27,40,False,22.0
8398027235,1411,1754049646,9381131.0,Uzumaki,9729268.0,Teiko,17366,Ultras Dota Pro League  2024-25,998664,1,27,14,True,22.0
8397992113,2732,1754047666,9593609.0,Nethercore,9759026.0,Dominion,17366,Ultras Dota Pro League  2024-25,998655,1,40,38,False,22.0
8397967669,2454,1754046224,9381131.0,Uzumaki,9818938.0,Teiko,17366,Ultras Dota Pro League  2024-25,998659,1,58,47,False,22.0
8397962429,2163,1754046121,9255039.0,1w Team,9247798.0,Passion UA,18396,CCT Dota 2 Season 2 Series 3,998657,2,8,35,False,22.0
